Name,Magnitude
Aldebaran  ,0.86
Rohini  ,0.86
Algol      ,2.12
Antares    ,0.91
Regulus    ,1.4
Sirius     ,-1.46
Spica      ,0.97
Trappist-1 ,18.798
Galactic Center,999.99
Gal. Center,999.99
Great Attractor,999.99
Virgo Cluster,999.99
Andromeda Galaxy,3.44
Praesepe Cluster,3.7
Polaris      ,2.02
Messier 87 ,8.63
Shapley Supercluster,999.99
Deneb        ,1.25
Deneb Adige ,1.25
Rigel        ,0.13
Mira        ,6.53
Ain          ,3.53
Segin        ,3.37
Alpheratz    ,2.06
Sirrah       ,2.06
Mirach       ,2.05
Almaak     ,2.1
Almak      ,2.1
Almac      ,2.1
Almach     ,2.1
             ,3.28
             ,4.38
             ,4.06
             ,4.29
             ,4.14
             ,3.82
             ,3.87
             ,4.53
Adhil        ,4.868
            ,3.62
             ,4.36
             ,5.18
             ,4.52
Adhab        ,4.1
Titawin      ,4.1
             ,4.966
            ,4.83
Veritate    ,5.22
Nembus      ,3.57
Andromeda Galaxy,3.44
             ,4.25
             ,4.51
             ,4.79
             ,4.6
             ,3.798
             ,4.24
             ,3.854
           ,4.68
             ,5.5
             ,5.41
           ,5.49
Altair       ,0.76
Shravana     ,0.76
Alshain      ,3.71
Tarazed      ,2.72
Delta Aquilae,3.36
Al Mizan     ,3.36
Deneb el Okab Borealis,4.02
Deneb el Okab Australis,2.99
Dheneb       ,2.99
Bazak        ,3.8
Tseen Foo    ,3.22
Al Thalimaim Posterior,4.36
             ,4.96
Al Thalimaim Anterior,3.43
             ,4.45
             ,4.946
             ,5.508
          ,5.283
Libertas    ,4.707
Bered     ,4.02
Sadalmelek   ,2.94
Sadalmelik   ,2.94
Sadalsuud    ,2.89
Sadalachbia  ,3.834
Sadachbia    ,3.834
Skat         ,3.28
Albali       ,3.77
Altager      ,3.77
Sadaltager    ,4.49
Hydria        ,4.03
Deli          ,4.03
Ancha        ,4.16
             ,4.27
Situla       ,5.03
Ekkhysis     ,3.79
Hydor        ,3.79
Shatabhishaj ,3.79
Shatabhishak ,3.79
             ,4.717
Albulaan     ,4.52
Seat         ,4.64
             ,4.81
           ,3.98
             ,4.22
Bunda        ,4.69
             ,5.2
           ,4.25
           ,5.003
          ,4.484
          ,4.44
          ,3.64
          ,3.98
Trappist-1 ,18.798
Ara          ,2.95
             ,2.85
             ,3.34
             ,3.62
           ,4.05
             ,3.076
             ,3.744
             ,3.66
Cervantes    ,5.15
Hamal        ,2.01
Sheratan     ,2.65
Ashvini     ,2.65
Mesarthim    ,3.88
Botein       ,4.37
             ,4.869
             ,5.572
             ,5.451
             ,5.516
           ,5.355
Lilii Borea ,4.51
Bharani    ,3.594
Capella      ,0.08
Brahmahridaya,0.08
Menkalinan   ,1.9
Prijipati    ,3.72
Maaz         ,2.99
Almaaz       ,2.99
Al Anz       ,2.99
Haedi        ,3.75
Hoedus I     ,3.75
Sadatoni     ,3.75
Saclateni    ,3.75
Hoedus II    ,3.18
Haedus       ,3.18
Bogardus     ,2.62
Manus        ,2.62
Mahasim      ,2.62
Hasseleh     ,2.69
Hassaleh     ,2.69
Al Khabdhilinan,2.69
             ,4.35
             ,4.71
             ,4.821
             ,3.95
             ,4.96
            ,5.46
             ,4.79
           ,4.75
           ,5.246
           ,5.216
Arcturus     ,-0.05
Svati      ,-0.05
Nekkar       ,3.52
Seginus      ,3.02
Haris        ,3.02
Princeps     ,3.49
Izar         ,2.39
Mirak        ,2.39
Pulcherrima  ,2.39
             ,3.793
Mufrid       ,2.68
Muphrid      ,2.68
Asellus Primus  ,4.05
Asellus Secundus,4.75
Asellus Tertius,4.51
Xuange       ,4.18
Alkalurops ,4.296
           ,5.026
Hemelein Prima,3.59
Al Hamalain   ,3.59
Hemelein Secunda,4.47
             ,4.49
Ceginus      ,5.254
             ,4.55
Merga        ,5.757
             ,4.45
             ,5.05
             ,5.059
             ,4.29
             ,4.02
             ,4.604
             ,5.376
             ,4.433
Tonatiuh    ,5.785
Algedi     ,4.27
Giedi Prima,4.27
Algedi     ,3.58
Giedi Secunda,3.58
Dabih        ,3.08
Dabih        ,3.08
Nashira      ,3.67
Deneb Algedi ,2.83
Castra       ,4.55
Marakk       ,3.74
Armus        ,4.84
Dorsum       ,4.07
             ,4.27
             ,5.567
             ,5.08
Alshat       ,4.76
Oculus       ,5.25
Bos          ,4.803
Pazan        ,4.122
Pazhan        ,4.122
             ,5.1
Baten Algiedi,4.12
             ,4.5
             ,4.5
Canopus      ,-0.74
Agastya      ,-0.74
Miaplacidus  ,1.69
Avior        ,1.953
Foramen      ,6.21
Vathorz Posterior,2.76
Scutulum     ,2.26
Aspidiske    ,2.26
Drus         ,3.431
Drys         ,3.431
Simiram     ,3.33
Vathorz Prior,2.96
             ,3.35
Schedar      ,2.23
Shedir       ,2.23
Schedir       ,2.23
Caph         ,2.27
Tsih         ,2.39
Cih          ,2.39
Ruchbah      ,2.68
Rucha        ,2.68
Segin        ,3.37
Fulu         ,3.66
Achird       ,3.44
             ,4.16
Marfak       ,5.17
            ,4.5
             ,4.59
             ,4.727
Castula      ,4.622
Rigil Kentaurus,-0.1
Rigel Kentaurus,-0.1
Toliman      ,-0.1
Bungula      ,-0.1
Proxima Centauri,-0.1
Hadar        ,0.6
Agena        ,0.6
Muhlifain    ,2.17
             ,2.52
Birdun       ,2.3
             ,2.55
             ,2.31
Menkent      ,2.05
Alhakim      ,2.73
Ke Kwan      ,3.13
Ma Ti        ,3.14
Mati         ,3.14
             ,3.43
Kabkent Secunda,3.386
           ,4.27
             ,3.9
             ,3.91
Kabkent Tertia,3.802
             ,4.034
             ,3.88
             ,3.96
Proxima Centauri,11.13
Shapley Supercluster,999.99
A3558,999.99
Alderamin    ,2.46
Alphirk      ,3.23
Alfirk       ,3.23
Alrai        ,3.22
Errai        ,3.22
Alradif     ,3.75
Alredif     ,3.75
Phicares     ,4.19
Phicareus     ,4.19
Kurhah       ,3.35
Alagemin    ,3.41
Alkidr      ,4.22
Alvahet      ,3.54
             ,4.4
Erakis       ,4.08
The Garnet Star,4.08
             ,4.29
Kurdah       ,6.5
Alkurhah     ,6.5
Al Kalb al Rai,5.46
Menkar       ,2.53
Diphda       ,2.01
Difda        ,2.01
Kaffaljidhma ,3.47
Phycochroma  ,4.07
Baten Kaitos ,3.72
Deneb Algenubi,3.45
Altawk       ,3.59
Deneb Kaitos ,3.55
Shemali      ,3.55
Menkar       ,4.7
             ,4.2
             ,4.871
           ,4.35
           ,4.3
Mira        ,6.53
Al Sadr al Ketus,4.236
             ,4.866
             ,4.75
             ,3.5
Abyssus Aqueus,4.02
Al Nitham  ,4.767
           ,5.19
             ,4.68
             ,4.047
             ,4.229
             ,4.12
           ,4.433
             ,5.453
             ,4.337
             ,5.637
             ,3.19
             ,4.057
Sirius       ,-1.46
Lubdhaka     ,-1.46
Mirzam       ,1.97
Murzim       ,1.97
Murzims       ,1.97
Muliphein    ,4.12
Isis         ,4.12
Wezen        ,1.84
Adara        ,1.5
Adhara       ,1.5
Furud        ,3.0
Aludra       ,2.45
             ,3.89
           ,4.5
          ,3.02
Unurgunite   ,3.47
             ,4.08
Procyon      ,0.37
Gomeisa      ,2.89
             ,5.16
Praesepe Cluster,3.7
Acubens      ,4.249
Ashlesha (Colebrook),4.249
Al Tarf      ,3.52
Asellus Borealis ,4.652
Asellus Australis,3.94
Pushya     ,3.94
Meleph      ,6.29
Tegmen     ,4.67
Tegmine    ,4.67
             ,5.325
Decapoda     ,4.018
             ,5.24
             ,5.149
           ,5.22
             ,5.1
          ,5.853
Copernicus  ,5.95
Phact        ,2.65
Wazn         ,3.12
Ghusn al Zaitun,3.85
             ,4.36
             ,3.96
Al Kurud     ,4.37
Tsze         ,4.87
            ,4.83
             ,3.87
Diadem       ,4.32
Aldafirah    ,4.25
Kissin       ,4.34
Alphecca     ,2.24
Alphekka     ,2.24
Gemma        ,2.24
Nusakan      ,3.68
             ,4.13
             ,4.13
             ,4.82
The Blaze Star,4.76
             ,3.84
             ,4.63
             ,4.971
Alfecca Meridiana,4.087
Meridiana    ,4.087
             ,5.456
             ,4.614
             ,4.83
             ,4.2
             ,4.095
             ,4.571
             ,4.725
Alkes        ,4.07
Alsharasif   ,4.449
             ,4.08
Labrum       ,3.56
             ,4.802
             ,5.16
             ,4.673
             ,4.706
Acrux      ,0.81
Mimosa       ,1.25
Gacrux       ,1.64
Decrux       ,2.752
Juxta Crucem ,3.59
Ginan        ,3.59
Alchiba      ,4.0
Alchita      ,4.0
Kraz         ,2.64
Gienah       ,2.58
Gienah Corvi ,2.58
Algorab      ,2.94
Hasta      ,2.94
Minkar       ,2.98
Avis Satyra  ,4.31
Cor Caroli ,2.88
Asterion     ,4.25
Chara        ,4.25
Deneb        ,1.25
Albireo    ,3.085
Sador        ,2.23
Sadir        ,2.23
Sadr         ,2.23
Ruc         ,2.87
Rukh         ,2.87
Urakhga      ,2.87
Al Fawaris   ,2.87
Gienah Cygni ,2.48
Gienah Ghurab,2.48
Aljanah,2.48
             ,3.21
             ,3.88
             ,4.48
           ,3.755
             ,3.76
             ,3.94
             ,3.73
Azelfafage ,4.66
           ,4.18
             ,4.02
             ,4.24
             ,4.42
Ruchbah I  ,4.936
Ruchbah II ,5.44
             ,4.84
             ,5.21
	     ,-3e-05
Sualocin     ,3.8
Rotanev      ,3.63
Dhanishtha   ,3.63
Shravishtha  ,3.63
           ,4.27
             ,4.417
Deneb Dulphim,4.03
Aldulfin,4.03
             ,5.05
Musica      ,5.506
             ,3.28
             ,3.76
             ,4.2
             ,4.36
             ,4.708
             ,4.801
             ,5.038
Sanduleak      ,4.81
Thuban       ,3.68
Dhruva       ,3.68
Alwaid       ,2.81
Rastaban     ,2.81
Eltanin      ,2.23
Etamin       ,2.23
Nodus II     ,3.07
Altais       ,3.07
Tyl          ,3.84
Nodus I      ,3.17
Aldhibah     ,3.17
             ,4.0
Edasich      ,3.29
Ed Asich     ,3.29
Ketu         ,3.89
Giansar      ,3.85
Giausar      ,3.85
Gianfar      ,3.85
Arrakis      ,4.92
Alrakis      ,4.92
Kuma       ,4.867
Kuma       ,4.833
Grumium      ,3.75
            ,4.636
Alsafi       ,4.68
Athafi       ,4.68
             ,4.45
             ,4.814
Batentaban Borealis,3.58
Dziban       ,4.56
,4.8
Aldhibain   ,2.74
Athebyne    ,2.74
Batentaban Australis,4.22
Tianyi      ,5.423
Taiyi       ,5.225
Fafnir      ,4.823
Kitalpha     ,3.933
             ,4.68
             ,4.49
             ,5.148
Achernar     ,0.46
Cursa        ,2.79
Zaurak       ,2.94
Rana         ,3.54
Ran          ,3.73
Azha         ,3.87
Acamar     ,3.18
Zibal        ,4.8
             ,4.116
             ,4.25
             ,4.27
             ,4.0
             ,3.928
             ,5.165
Beid      ,4.026
Keid      ,4.43
             ,3.57
           ,4.46
Angetenar  ,4.77
           ,4.09
           ,3.7
           ,4.3
           ,4.2
           ,4.623
           ,4.66
           ,4.51
Theemin    ,3.82
Beemim     ,3.96
           ,3.56
             ,3.7
Sceptrum     ,3.87
             ,4.4
             ,4.42
             ,4.17
             ,4.26
             ,10.68
             ,4.27
             ,4.77
Fornacis     ,3.85
Dalim     ,3.85
             ,4.46
             ,4.973
             ,5.19
           ,5.889
             ,5.26
             ,4.69
             ,6.01
Castor       ,1.58
Pollux       ,1.14
Punarvasu    ,1.14
Alhena       ,1.92
Almeisan     ,1.92
Wasat        ,3.53
Mebsuta      ,2.98
Mekbuda      ,3.79
Propus       ,3.28
Propus etaGem,3.28
Nageba       ,3.6
Propus iotGem,3.79
Al Krikab    ,3.57
Kebash       ,3.581
Alkibash     ,3.581
Tejat        ,2.87
             ,4.14
Alzirr       ,3.36
Jishui       ,4.9
             ,5.14
             ,4.18
             ,4.29
             ,4.42
             ,4.06
             ,4.963
             ,4.937
            ,5.181
Alnair       ,1.71
Gruid        ,2.11
Tiaki        ,2.11
Aldhanab    ,3.01
Al Dhanab    ,3.01
Ras Alkurki  ,3.01
           ,3.97
           ,4.11
             ,3.466
             ,4.332
             ,4.115
             ,3.877
             ,4.458
             ,5.473
            ,5.522
Ras Algethi  ,3.06
Rasalgethi   ,3.06
Rasalgethi   ,3.35
Kornephoros  ,2.77
Rutilicus  ,2.8
             ,3.76
Sarin        ,3.13
Kajam epsHer ,3.92
Sofian       ,3.5
Rukbalgethi Genubi,3.88
Al Jathiyah  ,3.8
Marsik       ,4.994
Marsic       ,4.994
Masym        ,4.41
Maasym       ,4.41
Melkarth     ,3.42
             ,3.7
            ,3.827
Fudail       ,3.18
             ,4.196
Rukbalgethi Shemali,3.9
             ,4.27
             ,4.62
Kajam omeHer ,4.58
Cujam       ,4.58
             ,4.56
Ogma        ,8.14
Apex         ,999.99
             ,3.86
             ,5.21
             ,5.355
             ,5.122
             ,5.4
             ,5.293
             ,4.969
Alphard      ,1.97
Cor Hydrae   ,1.97
             ,4.28
Cauda Hydrae ,3.0
Dhanab al Shuja,3.0
Mautinah     ,4.131
Ashlesha     ,3.38
Hydrobius    ,3.1
             ,4.3
             ,3.88
             ,3.91
             ,5.052
             ,3.61
             ,3.81
Pleura       ,3.11
             ,3.54
            ,4.7
Sataghni     ,3.28
Al Minliar al Shuja,4.43
Minchir    ,4.43
Ukdah      ,4.6
Ukdah prima,4.6
Ukdah      ,4.548
Ukdah secunda,4.548
Zhang      ,4.11
           ,4.588
           ,4.94
             ,2.84
             ,2.79
             ,3.26
             ,4.09
             ,4.096
           ,4.685
             ,5.499
             ,5.506
             ,5.987
             ,5.083
             ,5.275
             ,3.11
             ,3.65
             ,6.082
             ,4.4
             ,4.69
             ,4.495
             ,4.4
            ,5.505
             ,6.05
             ,3.77
             ,4.44
             ,4.15
             ,4.54
             ,4.58
             ,4.37
             ,4.511
Regulus    ,1.4
Magha      ,1.4
Denebola     ,2.13
Uttaraphalguni,2.13
Algieba    ,1.98
Zosma        ,2.53
Dhur         ,2.53
Purvaphalguni,2.53
Ras Elased Australis,2.98
Adhafera     ,3.41
Al Jabhah    ,3.41
Tse Tseng    ,4.0
Tsze Tseang    ,4.0
Alminhar     ,4.46
Al Minliar al Asad,4.46
Alterf       ,4.31
Ras Elased Borealis,3.88
Rasalas      ,3.88
             ,4.963
Subra       ,3.52
Shishimai    ,4.04
Coxa         ,3.35
Chertan      ,3.35
Cestan       ,3.35
Chort        ,3.35
             ,4.7
Shir         ,3.87
             ,4.943
             ,4.3
             ,4.45
             ,4.63
             ,5.35
Arneb        ,2.57
Nihal        ,2.84
             ,3.6
             ,3.85
Sasin        ,3.18
             ,3.525
             ,3.72
             ,4.29
             ,3.29
            ,5.16
Zubenelgenubi,2.75
Zuben Elgenubi,2.75
Zubeneshamali,2.62
Zuben Eschamali,2.62
Zubenelakrab ,3.91
Zubenelhakrabi,3.91
Zuben Elakrab ,3.91
Zubenelakribi,4.93
Zuben Elakribi,4.93
           ,5.626
Vishakha   ,4.54
           ,4.54
             ,4.72
             ,5.027
Zubenhakrabi ,5.2
Zuben Hakrabi ,5.2
           ,5.45
Brachium     ,3.21
             ,3.642
             ,3.589
             ,4.21
Praecipua   ,3.83
            ,4.49
Kakkab       ,2.286
Men          ,2.286
Kekouan      ,2.68
Thusia       ,2.765
Hilasmus     ,3.19
             ,3.366
             ,3.41
             ,3.41
             ,4.201
           ,3.7
           ,5.498
           ,3.546
           ,4.54
           ,4.553
             ,3.946
Alvashak     ,3.14
Al Fahd      ,3.14
Alsciaukat   ,4.25
Mabsuthat    ,4.25
Mabsuthat    ,4.258
Maculosa     ,3.82
Maculata     ,3.82
             ,4.61
             ,4.35
             ,4.434
Vega         ,0.03
Abhijit      ,0.03
Sheliak      ,3.42
Sulaphat     ,3.25
Sulafat      ,3.25
Aladfar      ,4.398
             ,4.38
             ,5.253
             ,4.34
Alathfar     ,5.12
Al Athfar     ,5.12
             ,5.585
             ,4.3
             ,4.59
             ,5.09
             ,5.294
             ,5.2
             ,5.68
             ,5.449
             ,5.606
             ,5.511
             ,5.828
             ,4.89
             ,4.654
             ,4.708
             ,5.305
           ,4.82
             ,5.13
             ,3.93
             ,3.74
             ,3.96
             ,4.15
             ,4.398
             ,4.33
             ,4.47
             ,4.5
             ,2.649
             ,3.07
             ,3.88
             ,3.62
             ,4.02
             ,4.774
             ,3.65
             ,4.728
           ,4.02
             ,4.713
             ,4.521
             ,4.643
             ,4.94
             ,5.15
             ,4.128
             ,5.106
             ,4.304
             ,6.185
             ,5.177
             ,4.783
             ,5.419
             ,5.519
             ,5.555
             ,3.743
             ,5.568
Polaris Australis,5.42
             ,5.49
             ,5.752
             ,5.278
Rasalhague   ,2.07
Celbalrai    ,2.75
Cebalrai     ,2.75
Kelb Alrai   ,2.75
Al Durajah   ,3.75
Yed Prior    ,2.75
Yed Posterior,3.23
Han          ,2.56
Sabik        ,2.42
Imad         ,3.26
             ,4.38
Helkath      ,3.2
Marfik       ,3.9
Sinistra     ,3.34
             ,4.39
             ,4.31
Barnard's star,9.511
             ,4.153
             ,4.269
Betelgeuse   ,0.42
Beteigeuse   ,0.42
Ardra   ,0.42
Rigel        ,0.13
Bellatrix    ,1.64
Durga        ,1.64
Mintaka      ,2.41
Kumara       ,2.41
Alnilam      ,1.69
Ganesha      ,1.69
Alnitak      ,1.79
Iyappa       ,1.79
Ensis        ,3.35
Trapezium    ,5.13
Hatsya       ,2.77
Nair al Saif ,2.77
Saiph        ,2.06
Meissa       ,3.66
Heka         ,3.66
Mrgashirsha  ,3.66
Mrigashirsha ,3.66
             ,4.13
             ,4.397
             ,4.48
          ,4.721
           ,4.648
